variant,architecture,kv_adapter,training_seed,evaluation_seed,spatial_success_pct,object_success_pct,goal_success_pct,long_success_pct,overall_success_pct,n_tasks,episodes_per_task,n_episodes,eval_seconds,seconds_per_episode,source_json
CA,CA,false,0,1000,82.6,87,91.6,69.2,82.6,40,50,2000,9047.165,4.5236,results/evaluations/ca-kvfalse-seed0-seed1000.json
CA,CA,false,1,1000,81,90.2,84,68.8,81,40,50,2000,8278.272,4.1391,results/evaluations/ca-kvfalse-seed1-seed1000.json
SA,SA,false,0,1000,80.6,84.8,86.6,54.8,76.7,40,50,2000,9926.421,4.9632,results/evaluations/sa-kvfalse-seed0-seed1000.json
SA,SA,false,1,1000,79,88.6,90.2,58.2,79,40,50,2000,9654.515,4.8273,results/evaluations/sa-kvfalse-seed1-seed1000.json
SA + adapter,SA,true,0,1000,81.4,89.2,89.4,71.6,82.9,40,50,2000,10647.384,5.3237,results/evaluations/sa-kvtrue-seed0-seed1000.json
SA + adapter,SA,true,0,2000,81,90.4,90.8,72.2,83.6,40,50,2000,7428.766,3.7144,results/evaluations/sa-kvtrue-seed0-seed2000.json
SA + adapter,SA,true,1,1000,84.8,89.2,93.6,73.8,85.35,40,50,2000,9613.354,4.8067,results/evaluations/sa-kvtrue-seed1-seed1000.json
SA + adapter,SA,true,1,2000,84.8,91,92.4,73.8,85.5,40,50,2000,8391.31,4.1957,results/evaluations/sa-kvtrue-seed1-seed2000.json
SA+CA,SA+CA,false,0,1000,85.6,95.4,88,68.8,84.45,40,50,2000,8776.887,4.3884,results/evaluations/ca-sa-kvfalse-seed0-seed1000.json
SA+CA,SA+CA,false,0,2000,84.8,95.8,89,68.6,84.55,40,50,2000,9172.413,4.5862,results/evaluations/ca-sa-kvfalse-seed0-seed2000.json
SA+CA,SA+CA,false,1,1000,87.4,91.6,92.8,71.4,85.8,40,50,2000,8629.821,4.3149,results/evaluations/ca-sa-kvfalse-seed1-seed1000.json
SA+CA,SA+CA,false,1,2000,85,91.6,93.2,70.6,85.1,40,50,2000,8807.611,4.4038,results/evaluations/ca-sa-kvfalse-seed1-seed2000.json
SA+CA + adapter,SA+CA,true,0,1000,85.4,93.4,89,71.4,84.8,40,50,2000,8487.16,4.2436,results/evaluations/ca-sa-kvtrue-seed0-seed1000.json
SA+CA + adapter,SA+CA,true,1,1000,85.8,85.2,90.4,70.4,82.95,40,50,2000,8953.041,4.4765,results/evaluations/ca-sa-kvtrue-seed1-seed1000.json
